locality,bhk,area_sqft,price_lakhs
Airoli,1,488,92
Airoli,3,1450,225
Airoli,2,1030,170
Airoli,2,1350,200
Airoli,2,900,175
Airoli,1,650,97
Airoli,1,650,97
Airoli,2,1279,185
Airoli,3,1952,260
Airoli,2,1300,230
Airoli,1,680,68
Airoli,1,680,68
Airoli,1,650,85
Airoli,1,655,77
Airoli,1,655,77
Airoli,2,1050,140
Airoli,1,535,90
Airoli,1,535,90
Ambarnath,1,575,25
Ambarnath,2,630,28
Ambarnath,1,575,24
Ambarnath,2,965,40
Ambarnath,1,640,29
Ambarnath,1,680,28
Ambarnath,1,580,22
Ambarnath,1,580,23
Ambarnath,1,680,27
Ambarnath,2,956,42
Ambarnath,1,644,26
Ambarnath,1,640,24
Ambarnath,1,644,26
Ambarnath,1,644,26
Ambarnath,1,644,26
Ambarnath,1,644,26
Ambarnath,2,951,37
Ambarnath,2,951,37
Ambarnath,1,670,28
Ambarnath,1,677,31
Ambarnath,1,677,31
Ambernath,1,699,30
Ambernath,1,700,36
Ambernath,1,700,27
Ambernath,1,700,36
Ambernath,1,700,27
Ambernath,2,900,46
Ambernath,2,900,46
Ambernath,2,1000,50
Ambernath,2,1000,50
Ambernath,2,1000,50
Ambernath,1,640,24
Ambernath,1,590,21
Ambernath,1,670,23
Ambernath,1,690,23
Ambernath,2,1090,39
Ambernath,1,715,35
Ambernath,2,1020,38
Ambernath,2,858,32
Ambernath,1,715,35
Ambernath,2,1020,38
Ambernath,2,858,32
Ambernath,2,1060,60
Ambernath,2,1040,36
Ambernath,2,950,45
Ambernath,1,695,25
Ambernath,1,720,30
Ambernath,1,630,34
Ambernath,2,1024,36
Ambernath,1,650,22
Ambernath,1,580,22
Ambernath,1,645,25
Ambernath,2,1020,36
Ambernath,1,620,21
Ambernath,1,678,26
Ambernath,1,1270,48
Ambernath,2,1230,46
Ambernath,2,1230,46
Ambernath,2,1040,46
Ambernath,1,675,27
Ambernath,2,1270,48
Ambernath,1,620,24
Ambernath,1,675,27
Ambernath,2,1270,48
Ambernath,1,620,24
Ambernath,1,680,26
Ambernath,2,1090,40
Ambernath,1,715,25
Ambernath,1,605,24
Ambernath,1,570,22
Ambernath,2,1015,37
Ambernath,1,650,35
Ambernath,1,705,35
Ambernath,2,890,32
